"ANO","NIVEL","CODIGO","TV","TC","TM","TVCF","TVCM","TC_22_34","TC_35_45","NMF","DPF","F_P25","F_P50","F_P75","TAFA","TADS","TADA","TACO"
2025,"UF","33",30,16,13,12,17,19,10,1.24,1.06,0,1,2,10,8,6,6
2025,"MUNICIPIO","330010",2,1,1,1,1,0,2,0.5,0.71,0.25,0.5,0.75,1,0,1,0
2025,"MUNICIPIO","330070",1,1,0,1,0,0,0,2,NA,2,2,2,0,1,0,0
2025,"MUNICIPIO","330100",2,1,1,1,1,2,0,0.5,0.71,0.25,0.5,0.75,1,0,0,1
2025,"MUNICIPIO","330170",2,1,1,1,1,1,1,1,1.41,0.5,1,1.5,0,1,0,1
2025,"MUNICIPIO","330270",2,1,0,0,2,1,1,2,1.41,1.5,2,2.5,1,1,0,0
2025,"MUNICIPIO","330330",2,1,1,1,1,2,0,1.5,2.12,0.75,1.5,2.25,1,0,0,1
2025,"MUNICIPIO","330350",4,1,3,1,2,3,1,1.25,0.96,0.75,1.5,2,1,2,1,0
2025,"MUNICIPIO","330390",2,1,1,1,1,1,1,2,1.41,1.5,2,2.5,1,0,0,1
2025,"MUNICIPIO","330455",4,3,1,2,2,3,1,1,1,0.5,1,1.5,1,1,1,1
2025,"MUNICIPIO","330490",7,4,3,3,4,5,2,1.29,1.11,0.5,1,2,3,1,2,1
2025,"MUNICIPIO","330610",2,1,1,0,2,1,1,1,1.41,0.5,1,1.5,0,1,1,0
